pokemon_id,name,height,weight
1,bulbasaur,7,69
2,ivysaur,10,130
3,venusaur,20,1000
4,charmander,6,85
5,charmeleon,11,190
6,charizard,17,905
7,squirtle,5,90
8,wartortle,10,225
9,blastoise,16,855
10,caterpie,3,29
11,metapod,7,99
12,butterfree,11,320
13,weedle,3,32
14,kakuna,6,100
15,beedrill,10,295
16,pidgey,3,18
17,pidgeotto,11,300
18,pidgeot,15,395
19,rattata,3,35
20,raticate,7,185
21,spearow,3,20
22,fearow,12,380
23,ekans,20,69
24,arbok,35,650
25,pikachu,4,60
26,raichu,8,300
27,sandshrew,6,120
28,sandslash,10,295
29,nidoran-f,4,70
30,nidorina,8,200
31,nidoqueen,13,600
32,nidoran-m,5,90
33,nidorino,9,195
34,nidoking,14,620
35,clefairy,6,75
36,clefable,13,400
37,vulpix,6,99
38,ninetales,11,199
39,jigglypuff,5,55
40,wigglytuff,10,120
41,zubat,8,75
42,golbat,16,550
43,oddish,5,54
44,gloom,8,86
45,vileplume,12,186
46,paras,3,54
47,parasect,10,295
48,venonat,10,300
49,venomoth,15,125
50,diglett,2,8
51,dugtrio,7,333
52,meowth,4,42
53,persian,10,320
54,psyduck,8,196
55,golduck,17,766
56,mankey,5,280
57,primeape,10,320
58,growlithe,7,190
59,arcanine,19,1550
60,poliwag,6,124
61,poliwhirl,10,200
62,poliwrath,13,540
63,abra,9,195
64,kadabra,13,565
65,alakazam,15,480
66,machop,8,195
67,machoke,15,705
68,machamp,16,1300
69,bellsprout,7,40
70,weepinbell,10,64
71,victreebel,17,155
72,tentacool,9,455
73,tentacruel,16,550
74,geodude,4,200
75,graveler,10,1050
76,golem,14,3000
77,ponyta,10,300
78,rapidash,17,950
79,slowpoke,12,360
80,slowbro,16,785
81,magnemite,3,60
82,magneton,10,600
83,farfetchd,8,150
84,doduo,14,392
85,dodrio,18,852
86,seel,11,900
87,dewgong,17,1200
88,grimer,9,300
89,muk,12,300
90,shellder,3,40
91,cloyster,15,1325
92,gastly,13,1
93,haunter,16,1
94,gengar,15,405
95,onix,88,2100
96,drowzee,10,324
97,hypno,16,756
98,krabby,4,65
99,kingler,13,600
100,voltorb,5,104
101,electrode,12,666
102,exeggcute,4,25
103,exeggutor,20,1200
104,cubone,4,65
105,marowak,10,450
106,hitmonlee,15,498
107,hitmonchan,14,502
108,lickitung,12,655
109,koffing,6,10
110,weezing,12,95
111,rhyhorn,10,1150
112,rhydon,19,1200
113,chansey,11,346
114,tangela,10,350
115,kangaskhan,22,800
116,horsea,4,80
117,seadra,12,250
118,goldeen,6,150
119,seaking,13,390
120,staryu,8,345
121,starmie,11,800
122,mr-mime,13,545
123,scyther,15,560
124,jynx,14,406
125,electabuzz,11,300
126,magmar,13,445
127,pinsir,15,550
128,tauros,14,884
129,magikarp,9,100
130,gyarados,65,2350
131,lapras,25,2200
132,ditto,3,40
133,eevee,3,65
134,vaporeon,10,290
135,jolteon,8,245
136,flareon,9,250
137,porygon,8,365
138,omanyte,4,75
139,omastar,10,350
140,kabuto,5,115
141,kabutops,13,405
142,aerodactyl,18,590
143,snorlax,21,4600
144,articuno,17,554
145,zapdos,16,526
146,moltres,20,600
147,dratini,18,33
148,dragonair,40,165
149,dragonite,22,2100
150,mewtwo,20,1220
151,mew,4,40
152,chikorita,9,64
153,bayleef,12,158
154,meganium,18,1005
155,cyndaquil,5,79
156,quilava,9,190
157,typhlosion,17,795
158,totodile,6,95
159,croconaw,11,250
160,feraligatr,23,888
161,sentret,8,60
162,furret,18,325
163,hoothoot,7,212
164,noctowl,16,408
165,ledyba,10,108
166,ledian,14,356
167,spinarak,5,85
168,ariados,11,335
169,crobat,18,750
170,chinchou,5,120
171,lanturn,12,225
172,pichu,3,20
173,cleffa,3,30
174,igglybuff,3,10
175,togepi,3,15
176,togetic,6,32
177,natu,2,20
178,xatu,15,150
179,mareep,6,78
180,flaaffy,8,133
181,ampharos,14,615
182,bellossom,4,58
183,marill,4,85
184,azumarill,8,285
185,sudowoodo,12,380
186,politoed,11,339
187,hoppip,4,5
188,skiploom,6,10
189,jumpluff,8,30
190,aipom,8,115
191,sunkern,3,18
192,sunflora,8,85
193,yanma,12,380
194,wooper,4,85
195,quagsire,14,750
196,espeon,9,265
197,umbreon,10,270
198,murkrow,5,21
199,slowking,20,795
200,misdreavus,7,10
201,unown,5,50
202,wobbuffet,13,285
203,girafarig,15,415
204,pineco,6,72
205,forretress,12,1258
206,dunsparce,15,140
207,gligar,11,648
208,steelix,92,4000
209,snubbull,6,78
210,granbull,14,487
211,qwilfish,5,39
212,scizor,18,1180
213,shuckle,6,205
214,heracross,15,540
215,sneasel,9,280
216,teddiursa,6,88
217,ursaring,18,1258
218,slugma,7,350
219,magcargo,8,550
220,swinub,4,65
221,piloswine,11,558
222,corsola,6,50
223,remoraid,6,120
224,octillery,9,285
225,delibird,9,160
226,mantine,21,2200
227,skarmory,17,505
228,houndour,6,108
229,houndoom,14,350
230,kingdra,18,1520
231,phanpy,5,335
232,donphan,11,1200
233,porygon2,6,325
234,stantler,14,712
235,smeargle,12,580
236,tyrogue,7,210
237,hitmontop,14,480
238,smoochum,4,60
239,elekid,6,235
240,magby,7,214
241,miltank,12,755
242,blissey,15,468
243,raikou,19,1780
244,entei,21,1980
245,suicune,20,1870
246,larvitar,6,720
247,pupitar,12,1520
248,tyranitar,20,2020
249,lugia,52,2160
250,ho-oh,38,1990
251,celebi,6,50
252,treecko,5,50
253,grovyle,9,216
254,sceptile,17,522
255,torchic,4,25
256,combusken,9,195
257,blaziken,19,520
258,mudkip,4,76
259,marshtomp,7,280
260,swampert,15,819
261,poochyena,5,136
262,mightyena,10,370
263,zigzagoon,4,175
264,linoone,5,325
265,wurmple,3,36
266,silcoon,6,100
267,beautifly,10,284
268,cascoon,7,115
269,dustox,12,316
270,lotad,5,26
271,lombre,12,325
272,ludicolo,15,550
273,seedot,5,40
274,nuzleaf,10,280
275,shiftry,13,596
276,taillow,3,23
277,swellow,7,198
278,wingull,6,95
279,pelipper,12,280
280,ralts,4,66
281,kirlia,8,202
282,gardevoir,16,484
283,surskit,5,17
284,masquerain,8,36
285,shroomish,4,45
286,breloom,12,392
287,slakoth,8,240
288,vigoroth,14,465
289,slaking,20,1305
290,nincada,5,55
291,ninjask,8,120
292,shedinja,8,12
293,whismur,6,163
294,loudred,10,405
295,exploud,15,840
296,makuhita,10,864
297,hariyama,23,2538
298,azurill,2,20
299,nosepass,10,970
300,skitty,6,110
301,delcatty,11,326
302,sableye,5,110
303,mawile,6,115
304,aron,4,600
305,lairon,9,1200
306,aggron,21,3600
307,meditite,6,112
308,medicham,13,315
309,electrike,6,152
310,manectric,15,402
311,plusle,4,42
312,minun,4,42
313,volbeat,7,177
314,illumise,6,177
315,roselia,3,20
316,gulpin,4,103
317,swalot,17,800
318,carvanha,8,208
319,sharpedo,18,888
320,wailmer,20,1300
321,wailord,145,3980
322,numel,7,240
323,camerupt,19,2200
324,torkoal,5,804
325,spoink,7,306
326,grumpig,9,715
327,spinda,11,50
328,trapinch,7,150
329,vibrava,11,153
330,flygon,20,820
331,cacnea,4,513
332,cacturne,13,774
333,swablu,4,12
334,altaria,11,206
335,zangoose,13,403
336,seviper,27,525
337,lunatone,10,1680
338,solrock,12,1540
339,barboach,4,19
340,whiscash,9,236
341,corphish,6,115
342,crawdaunt,11,328
343,baltoy,5,215
344,claydol,15,1080
345,lileep,10,238
346,cradily,15,604
347,anorith,7,125
348,armaldo,15,682
349,feebas,6,74
350,milotic,62,1620
351,castform,3,8
352,kecleon,10,220
353,shuppet,6,23
354,banette,11,125
355,duskull,8,150
356,dusclops,16,306
357,tropius,20,1000
358,chimecho,6,10
359,absol,12,470
360,wynaut,6,140
361,snorunt,7,168
362,glalie,15,2565
363,spheal,8,395
364,sealeo,11,876
365,walrein,14,1506
366,clamperl,4,525
367,huntail,17,270
368,gorebyss,18,226
369,relicanth,10,234
370,luvdisc,6,87
371,bagon,6,421
372,shelgon,11,1105
373,salamence,15,1026
374,beldum,6,952
375,metang,12,2025
376,metagross,16,5500
377,regirock,17,2300
378,regice,18,1750
379,registeel,19,2050
380,latias,14,400
381,latios,20,600
382,kyogre,45,3520
383,groudon,35,9500
384,rayquaza,70,2065
385,jirachi,3,11
386,deoxys-normal,17,608
387,turtwig,4,102
388,grotle,11,970
389,torterra,22,3100
390,chimchar,5,62
391,monferno,9,220
392,infernape,12,550
393,piplup,4,52
394,prinplup,8,230
395,empoleon,17,845
396,starly,3,20
397,staravia,6,155
398,staraptor,12,249
399,bidoof,5,200
400,bibarel,10,315
401,kricketot,3,22
402,kricketune,10,255
403,shinx,5,95
404,luxio,9,305
405,luxray,14,420
406,budew,2,12
407,roserade,9,145
408,cranidos,9,315
409,rampardos,16,1025
410,shieldon,5,570
411,bastiodon,13,1495
412,burmy,2,34
413,wormadam-plant,5,65
414,mothim,9,233
415,combee,3,55
416,vespiquen,12,385
417,pachirisu,4,39
418,buizel,7,295
419,floatzel,11,335
420,cherubi,4,33
421,cherrim,5,93
422,shellos,3,63
423,gastrodon,9,299
424,ambipom,12,203
425,drifloon,4,12
426,drifblim,12,150
427,buneary,4,55
428,lopunny,12,333
429,mismagius,9,44
430,honchkrow,9,273
431,glameow,5,39
432,purugly,10,438
433,chingling,2,6
434,stunky,4,192
435,skuntank,10,380
436,bronzor,5,605
437,bronzong,13,1870
438,bonsly,5,150
439,mime-jr,6,130
440,happiny,6,244
441,chatot,5,19
442,spiritomb,10,1080
443,gible,7,205
444,gabite,14,560
445,garchomp,19,950
446,munchlax,6,1050
447,riolu,7,202
448,lucario,12,540
449,hippopotas,8,495
450,hippowdon,20,3000
451,skorupi,8,120
452,drapion,13,615
453,croagunk,7,230
454,toxicroak,13,444
455,carnivine,14,270
456,finneon,4,70
457,lumineon,12,240
458,mantyke,10,650
459,snover,10,505
460,abomasnow,22,1355
461,weavile,11,340
462,magnezone,12,1800
463,lickilicky,17,1400
464,rhyperior,24,2828
465,tangrowth,20,1286
466,electivire,18,1386
467,magmortar,16,680
468,togekiss,15,380
469,yanmega,19,515
470,leafeon,10,255
471,glaceon,8,259
472,gliscor,20,425
473,mamoswine,25,2910
474,porygon-z,9,340
475,gallade,16,520
476,probopass,14,3400
477,dusknoir,22,1066
478,froslass,13,266
479,rotom,3,3
480,uxie,3,3
481,mesprit,3,3
482,azelf,3,3
483,dialga,54,6830
484,palkia,42,3360
485,heatran,17,4300
486,regigigas,37,4200
487,giratina-altered,45,7500
488,cresselia,15,856
489,phione,4,31
490,manaphy,3,14
491,darkrai,15,505
492,shaymin-land,2,21
493,arceus,32,3200
494,victini,4,40
495,snivy,6,81
496,servine,8,160
497,serperior,33,630
498,tepig,5,99
499,pignite,10,555
500,emboar,16,1500
501,oshawott,5,59
502,dewott,8,245
503,samurott,15,946
504,patrat,5,116
505,watchog,11,270
506,lillipup,4,41
507,herdier,9,147
508,stoutland,12,610
509,purrloin,4,101
510,liepard,11,375
511,pansage,6,105
512,simisage,11,305
513,pansear,6,110
514,simisear,10,280
515,panpour,6,135
516,simipour,10,290
517,munna,6,233
518,musharna,11,605
519,pidove,3,21
520,tranquill,6,150
521,unfezant,12,290
522,blitzle,8,298
523,zebstrika,16,795
524,roggenrola,4,180
525,boldore,9,1020
526,gigalith,17,2600
527,woobat,4,21
528,swoobat,9,105
529,drilbur,3,85
530,excadrill,7,404
531,audino,11,310
532,timburr,6,125
533,gurdurr,12,400
534,conkeldurr,14,870
535,tympole,5,45
536,palpitoad,8,170
537,seismitoad,15,620
538,throh,13,555
539,sawk,14,510
540,sewaddle,3,25
541,swadloon,5,73
542,leavanny,12,205
543,venipede,4,53
544,whirlipede,12,585
545,scolipede,25,2005
546,cottonee,3,6
547,whimsicott,7,66
548,petilil,5,66
549,lilligant,11,163
550,basculin-red-striped,10,180
551,sandile,7,152
552,krokorok,10,334
553,krookodile,15,963
554,darumaka,6,375
555,darmanitan-standard,13,929
556,maractus,10,280
557,dwebble,3,145
558,crustle,14,2000
559,scraggy,6,118
560,scrafty,11,300
561,sigilyph,14,140
562,yamask,5,15
563,cofagrigus,17,765
564,tirtouga,7,165
565,carracosta,12,810
566,archen,5,95
567,archeops,14,320
568,trubbish,6,310
569,garbodor,19,1073
570,zorua,7,125
571,zoroark,16,811
572,minccino,4,58
573,cinccino,5,75
574,gothita,4,58
575,gothorita,7,180
576,gothitelle,15,440
577,solosis,3,10
578,duosion,6,80
579,reuniclus,10,201
580,ducklett,5,55
581,swanna,13,242
582,vanillite,4,57
583,vanillish,11,410
584,vanilluxe,13,575
585,deerling,6,195
586,sawsbuck,19,925
587,emolga,4,50
588,karrablast,5,59
589,escavalier,10,330
590,foongus,2,10
591,amoonguss,6,105
592,frillish,12,330
593,jellicent,22,1350
594,alomomola,12,316
595,joltik,1,6
596,galvantula,8,143
597,ferroseed,6,188
598,ferrothorn,10,1100
599,klink,3,210
600,klang,6,510
601,klinklang,6,810
602,tynamo,2,3
603,eelektrik,12,220
604,eelektross,21,805
605,elgyem,5,90
606,beheeyem,10,345
607,litwick,3,31
608,lampent,6,130
609,chandelure,10,343
610,axew,6,180
611,fraxure,10,360
612,haxorus,18,1055
613,cubchoo,5,85
614,beartic,26,2600
615,cryogonal,11,1480
616,shelmet,4,77
617,accelgor,8,253
618,stunfisk,7,110
619,mienfoo,9,200
620,mienshao,14,355
621,druddigon,16,1390
622,golett,10,920
623,golurk,28,3300
624,pawniard,5,102
625,bisharp,16,700
626,bouffalant,16,946
627,rufflet,5,105
628,braviary,15,410
629,vullaby,5,90
630,mandibuzz,12,395
631,heatmor,14,580
632,durant,3,330
633,deino,8,173
634,zweilous,14,500
635,hydreigon,18,1600
636,larvesta,11,288
637,volcarona,16,460
638,cobalion,21,2500
639,terrakion,19,2600
640,virizion,20,2000
641,tornadus-incarnate,15,630
642,thundurus-incarnate,15,610
643,reshiram,32,3300
644,zekrom,29,3450
645,landorus-incarnate,15,680
646,kyurem,30,3250
647,keldeo-ordinary,14,485
648,meloetta-aria,6,65
649,genesect,15,825
650,chespin,4,90
651,quilladin,7,290
652,chesnaught,16,900
653,fennekin,4,94
654,braixen,10,145
655,delphox,15,390
656,froakie,3,70
657,frogadier,6,109
658,greninja,15,400
659,bunnelby,4,50
660,diggersby,10,424
661,fletchling,3,17
662,fletchinder,7,160
663,talonflame,12,245
664,scatterbug,3,25
665,spewpa,3,84
666,vivillon,12,170
667,litleo,6,135
668,pyroar,15,815
669,flabebe,1,1
670,floette,2,9
671,florges,11,100
672,skiddo,9,310
673,gogoat,17,910
674,pancham,6,80
675,pangoro,21,1360
676,furfrou,12,280
677,espurr,3,35
678,meowstic-male,6,85
679,honedge,8,20
680,doublade,8,45
681,aegislash-shield,17,530
682,spritzee,2,5
683,aromatisse,8,155
684,swirlix,4,35
685,slurpuff,8,50
686,inkay,4,35
687,malamar,15,470
688,binacle,5,310
689,barbaracle,13,960
690,skrelp,5,73
691,dragalge,18,815
692,clauncher,5,83
693,clawitzer,13,353
694,helioptile,5,60
695,heliolisk,10,210
696,tyrunt,8,260
697,tyrantrum,25,2700
698,amaura,13,252
699,aurorus,27,2250
700,sylveon,10,235
701,hawlucha,8,215
702,dedenne,2,22
703,carbink,3,57
704,goomy,3,28
705,sliggoo,8,175
706,goodra,20,1505
707,klefki,2,30
708,phantump,4,70
709,trevenant,15,710
710,pumpkaboo-average,4,50
711,gourgeist-average,9,125
712,bergmite,10,995
713,avalugg,20,5050
714,noibat,5,80
715,noivern,15,850
716,xerneas,30,2150
717,yveltal,58,2030
718,zygarde,50,3050
719,diancie,7,88
720,hoopa,5,90
721,volcanion,17,1950
722,rowlet,3,15
723,dartrix,7,160
724,decidueye,16,366
725,litten,4,43
726,torracat,7,250
727,incineroar,18,830
728,popplio,4,75
729,brionne,6,175
730,primarina,18,440
731,pikipek,3,12
732,trumbeak,6,148
733,toucannon,11,260
734,yungoos,4,60
735,gumshoos,7,142
736,grubbin,4,44
737,charjabug,5,105
738,vikavolt,15,450
739,crabrawler,6,70
740,crabominable,17,1800
741,oricorio-baile,6,34
742,cutiefly,1,2
743,ribombee,2,5
744,rockruff,5,92
745,lycanroc-midday,8,250
746,wishiwashi-solo,2,3
747,mareanie,4,80
748,toxapex,7,145
749,mudbray,10,1100
750,mudsdale,25,9200
751,dewpider,3,40
752,araquanid,18,820
753,fomantis,3,15
754,lurantis,9,185
755,morelull,2,15
756,shiinotic,10,115
757,salandit,6,48
758,salazzle,12,222
759,stufful,5,68
760,bewear,21,1350
761,bounsweet,3,32
762,steenee,7,82
763,tsareena,12,214
764,comfey,1,3
765,oranguru,15,760
766,passimian,20,828
767,wimpod,5,120
768,golisopod,20,1080
769,sandygast,5,700
770,palossand,13,2500
771,pyukumuku,3,12
772,type-null,19,1205
773,silvally,23,1005
774,minior-red-meteor,3,400
775,komala,4,199
776,turtonator,20,2120
777,togedemaru,3,33
778,mimikyu-disguised,2,7
779,bruxish,9,190
780,drampa,30,1850
781,dhelmise,39,2100
782,jangmo-o,6,297
783,hakamo-o,12,470
784,kommo-o,16,782
785,tapu-koko,18,205
786,tapu-lele,12,186
787,tapu-bulu,19,455
788,tapu-fini,13,212
789,cosmog,2,1
790,cosmoem,1,9999
791,solgaleo,34,2300
792,lunala,40,1200
793,nihilego,12,555
794,buzzwole,24,3336
795,pheromosa,18,250
796,xurkitree,38,1000
797,celesteela,92,9999
798,kartana,3,1
799,guzzlord,55,8880
800,necrozma,24,2300
801,magearna,10,805
802,marshadow,7,222
